,weather_grid,fips,county,state
2907,21773,56023,Lincoln,WY
25021,21774,56023,Lincoln,WY
2905,21775,56035,Sublette,WY
25011,21776,56035,Sublette,WY
25005,21777,56035,Sublette,WY
2903,21778,56035,Sublette,WY
25000,21779,56013,Fremont,WY
2902,21780,56013,Fremont,WY
24996,21781,56013,Fremont,WY
2901,21782,56013,Fremont,WY
24995,21783,56013,Fremont,WY
2900,21784,56013,Fremont,WY
24990,21785,56013,Fremont,WY
2899,21786,56013,Fremont,WY
24985,21787,56025,Natrona,WY
24980,21788,56025,Natrona,WY
2897,21789,56025,Natrona,WY
24975,21790,56025,Natrona,WY
2896,21791,56025,Natrona,WY
24969,21792,56025,Natrona,WY
2895,21793,56009,Converse,WY
24968,21794,56009,Converse,WY
2894,21795,56009,Converse,WY
24959,21796,56009,Converse,WY
24953,21797,56027,Niobrara,WY
2893,21798,56027,Niobrara,WY
24947,21799,56027,Niobrara,WY
2892,21800,56027,Niobrara,WY
