weather_grid (Trip)	stationID (Meridith)	lat	lon
1033	10745	31.375	-94.875
1023	10735	31.375	-97.375
1034	10746	31.375	-94.625
862	10311	30.875	-85.375
887	10474	31.125	-103.625
948	10535	31.125	-88.375
1022	10734	31.375	-97.625
1035	10747	31.375	-94.375
1021	10733	31.375	-97.875
1036	10748	31.375	-94.125
1020	10732	31.375	-98.125
1037	10749	31.375	-93.875
1019	10731	31.375	-98.375
1038	10750	31.375	-93.625
775	10085	30.625	-82.875
886	10473	31.125	-103.875
949	10536	31.125	-88.125
1018	10730	31.375	-98.625
1039	10751	31.375	-93.375
863	10312	30.875	-85.125
1017	10729	31.375	-98.875
1040	10752	31.375	-93.125
1016	10728	31.375	-99.125
1041	10753	31.375	-92.875
885	10472	31.125	-104.125
950	10537	31.125	-87.875
1015	10727	31.375	-99.375
1042	10754	31.375	-92.625
864	10313	30.875	-84.875
776	10086	30.625	-82.625
1014	10726	31.375	-99.625
1043	10755	31.375	-92.375
884	10471	31.125	-104.375
951	10538	31.125	-87.625
1013	10725	31.375	-99.875
1044	10756	31.375	-92.125
1012	10724	31.375	-100.125
1045	10757	31.375	-91.875
865	10314	30.875	-84.625
883	10470	31.125	-104.625
952	10539	31.125	-87.375
1011	10723	31.375	-100.375
1046	10758	31.375	-91.625
777	10087	30.625	-82.375
1010	10722	31.375	-100.625
1047	10759	31.375	-91.375
882	10469	31.125	-104.875
953	10540	31.125	-87.125
1009	10721	31.375	-100.875
1048	10760	31.375	-91.125
866	10315	30.875	-84.375
1008	10720	31.375	-101.125
1049	10761	31.375	-90.875
778	10088	30.625	-82.125
881	10468	31.125	-105.125
954	10541	31.125	-86.875
1007	10719	31.375	-101.375
1050	10762	31.375	-90.625
867	10316	30.875	-84.125
1006	10718	31.375	-101.625
1051	10763	31.375	-90.375
880	10467	31.125	-105.375
